"id","nLL","kernel","acq","R2","kError","lambda","beta","tau","epsilon"
897,748.814937599496,"RBF","epsilonGreedy",0.0997403358180237,NA,0.809181974905915,NA,0.349521168627992,NA
915,778.749484027168,"RBF","epsilonGreedy",0.0637516510826381,NA,0.224841260457476,NA,4.26680760995118,NA
923,808.220407341187,"RBF","epsilonGreedy",0.0283203553196759,NA,0.142305719365088,NA,9.91540581085245,NA
963,808.001694032379,"RBF","epsilonGreedy",0.0285833024913372,NA,0.363583814986608,NA,7.16463480016645,NA
976,791.659933765628,"RBF","epsilonGreedy",0.0482301162382031,NA,0.329112088815488,NA,0.410492485175671,NA
983,803.780543102604,"RBF","epsilonGreedy",0.0336581637523634,NA,0.144815693974467,NA,11.3485780844184,NA
1102,815.91142611781,"BMT","GM",0.0190738597793281,8.20001334049821,NA,NA,0.0447723554185306,NA
111,830.250651509554,"BMT","GM",0.00183458531027969,11.4176057877228,NA,NA,0.057402436282884,NA
115,831.776751710242,"BMT","GM",-1.62349247156968e-07,54.5981497901939,NA,NA,54.5981494359548,NA
1154,695.932053426378,"BMT","GM",0.163318564771743,6.99573436575715,NA,NA,0.0361451155592951,NA
1155,720.46617907931,"BMT","GM",0.13382251359505,6.29017931266491,NA,NA,0.0400315238868802,NA
1164,831.776784852842,"BMT","GM",-2.02194801124378e-07,54.5981499068026,NA,NA,54.5981499208381,NA
117,563.871976974917,"BMT","GM",0.322087245935026,4.5328078621494,NA,NA,0.0466696813373589,NA
1175,695.335688797277,"BMT","GM",0.164035541682548,4.96407812955887,NA,NA,0.0538411481149766,NA
1176,831.776729326291,"BMT","GM",-1.35438234627472e-07,54.5981500097705,NA,NA,54.5981499349611,NA
1194,793.924145645653,"BMT","GM",0.0455079768625076,18.5272051184341,NA,NA,0.00677238822164095,NA
1196,680.276602321366,"BMT","GM",0.182140266165143,7.55199441020738,NA,NA,0.0234004325900885,NA
1214,831.776803667475,"BMT","GM",-2.24814616034408e-07,54.5981500139915,NA,NA,54.5981499857011,NA
1215,797.609821987583,"BMT","GM",0.0410768877118213,18.3873727745326,NA,NA,0.00673794723645078,NA
1224,831.7767871881,"BMT","GM",-2.05002355535555e-07,54.5981500083671,NA,NA,54.5981499914706,NA
1260,831.776768947669,"BMT","GM",-1.830728726393e-07,54.598149998934,NA,NA,54.5981499779749,NA
1266,831.776760489971,"BMT","GM",-1.72904640161065e-07,54.5981499909341,NA,NA,54.5981499677338,NA
1288,566.97706602399,"BMT","GM",0.318354165457847,14.1242570950242,NA,NA,0.00673794699977191,NA
1300,518.472866239029,"BMT","GM",0.376668139201222,11.2414571400932,NA,NA,0.00673794699918843,NA
1312,831.776779229331,"BMT","GM",-1.95433958349867e-07,54.5981499930667,NA,NA,54.5981499359688,NA
1319,832.396294327073,"BMT","GM",-0.000745004900015278,35.218201336605,NA,NA,34.6662162471483,NA
1325,831.776859887431,"BMT","GM",-2.92404825685821e-07,54.59815000316,NA,NA,54.5981499406671,NA
1326,582.460498877615,"BMT","GM",0.299739272296295,13.4195514276152,NA,NA,0.00673794700071394,NA
1345,831.776757253597,"BMT","GM",-1.69013723017031e-07,54.5981499989885,NA,NA,54.5981500073435,NA
1348,685.008527702993,"BMT","GM",0.176451328430201,15.5510270967279,NA,NA,0.00673794699993583,NA
1374,831.776793572983,"BMT","GM",-2.1267855454532e-07,54.5981499990487,NA,NA,54.5981499624603,NA
1379,754.844574315884,"BMT","GM",0.0924912299937781,17.8742876707418,NA,NA,0.00673794700172472,NA
1388,831.776815816654,"BMT","GM",-2.3942091620377e-07,54.5981500003903,NA,NA,54.598150011677,NA
1391,831.776794613842,"BMT","GM",-2.13929923109646e-07,54.5981499819503,NA,NA,54.5981499644577,NA
